Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
21-January-2019,2715.00,2720.20,2670.00,2685.45,2689.265064221699087267,24213,1546,65115175.00,11750,48.53,50.20,-29.55
18-January-2019,2740.00,2741.05,2698.00,2716.55,2716.773038772287549634,65227,959,177206955.00,55258,84.72,43.05,-23.45
17-January-2019,2723.95,2735.60,2700.20,2726.35,2720.517935024477080551,11235,854,30565019.00,1769,15.75,35.40,2.40
16-January-2019,2725.00,2731.05,2709.80,2717.10,2714.960481597032367351,93273,725,253232509.00,83035,89.02,21.25,-7.90
15-January-2019,2712.40,2734.90,2710.50,2725.30,2722.600265352539802880,10552,672,28728878.00,2673,25.33,24.40,12.90
14-January-2019,2716.00,2734.00,2678.55,2700.15,2693.298068652748455704,12789,1510,34444589.00,4088,31.96,55.45,-15.85
11-January-2019,2725.10,2735.00,2700.00,2713.80,2716.617727272727272727,17600,1356,47812472.00,3427,19.47,35.00,-11.30
10-January-2019,2700.00,2725.00,2687.55,2718.75,2717.158949550794747753,17364,1074,47180748.00,3918,22.56,37.45,18.75
9-January-2019,2700.00,2708.00,2673.60,2695.65,2690.289601949634443541,27082,1778,72858423.00,5039,18.61,34.40,-4.35
8-January-2019,2678.00,2698.50,2630.90,2690.75,2668.444988098386670193,30248,1841,80715124.00,4241,14.02,67.60,12.75
7-January-2019,2740.00,2740.00,2643.30,2657.40,2687.097807804440457501,35672,2752,95854153.00,10606,29.73,96.70,-82.60
4-January-2019,2713.05,2740.50,2703.95,2734.65,2727.046535132047282154,22757,1402,62059398.00,3839,16.87,36.55,21.60
3-January-2019,2694.00,2722.65,2685.00,2700.40,2703.761236080676177272,22361,1792,60458805.00,4705,21.04,37.65,6.40
2-January-2019,2728.00,2744.65,2680.00,2689.40,2703.300550916759920805,46468,2927,125616970.00,5470,11.77,64.65,-38.60
1-January-2019,2738.00,2745.00,2707.00,2724.60,2724.781121069853464219,28116,1360,76609946.00,2850,10.14,38.00,-13.40
