Security_cd,sc_name,Open Price,High Price,Low Price,Close Price,Total Traded Volume,Number of Trades ,Total Turnover,ISIN No.,FACE VALUE,COUP0N (%),Maturity Date
936712,102EFL22    ,900.00,900.05,900.00,900.05,14.00,2,12600.00,INE804IA7089,1000.00,10.2                     ,
936366,1040MFL23   ,1035.05,1060.00,1025.00,1034.66,601.00,16,621865.00,INE522D07AL3,1000.00,10.40                    ,
936718,104EFL24    ,950.00,950.00,920.00,920.00,20.00,2,18550.00,INE804IA7113,1000.00,10.4                     ,
936724,104EFL29    ,900.00,900.00,900.00,900.00,20.00,1,18000.00,INE804IA7147,1000.00,10.4                     ,
936504,1050ICFL24  ,861.00,861.00,835.00,839.85,62.00,5,52071.00,INE614X07076,1000.00,10.50                    ,
936400,1060EFL29   ,899.00,899.00,899.00,899.00,10.00,1,8990.00,INE804IA7022,1000.00,10.60                    ,
935288,1072SREI19F ,970.10,970.10,950.00,952.15,140.00,4,133301.00,INE872A07TM6,1000.00,10.72                    ,
935463,1075SREI20  ,900.01,900.01,900.00,900.00,143.00,4,128700.00,INE872A07TU9,1000.00,10.75                    ,
934917,1075STF20   ,1050.16,1051.00,1050.16,1050.51,100.00,4,105033.00,INE721A07GT7,1000.00,10.75                    ,
936500,1090ICFL22  ,851.00,851.00,851.00,851.00,10.00,1,8510.00,INE614X07050,1000.00,10.90                    ,
935788,10EHFL26    ,790.00,810.00,770.00,781.00,127.00,13,98351.00,INE530L07228,1000.00,10                       ,
936360,10MFL23     ,1005.00,1005.00,1000.00,1000.00,30.00,4,30050.00,INE522D07AI9,1000.00,10                       ,
936544,10MFL24     ,1020.00,1022.00,1020.00,1022.00,55.00,3,56180.00,INE414G07DG0,1000.00,10                       ,
935290,1125SREI19G ,990.00,990.00,980.00,980.00,1110.00,45,1093380.00,INE872A07TN4,1000.00,11.25                    ,
935724,11SFL20     ,820.00,820.00,820.00,820.00,25.00,3,20500.00,INE302E07144,1000.00,11                       ,
935088,12ECL20I    ,990.00,990.00,985.00,985.00,587.00,9,580846.00,INE804I08601,1000.00,12                       ,
935540,714REC25    ,1088.10,1088.10,1088.10,1088.10,5.00,1,5440.00,INE020B07JQ2,1000.00,7.14                     ,
961750,719PFC2023  ,1100.00,1116.11,1100.00,1116.11,50.00,6,55729.00,INE134E07331,1000.00,7.19                     ,
935640,727HUDCO26  ,1185.00,1185.00,1083.00,1100.00,895.00,12,984444.00,INE031A07AN7,1000.00,7.27                     ,
